pedido_id,transportadora_id,data_fatura,custo_repassado
328,1,2026-08-28,20.13
380,1,2026-08-28,32.08
115,1,2026-08-28,22.19
53,1,2026-08-28,61.4
457,1,2026-08-28,51.81
303,1,2026-08-28,42.8
16,1,2026-08-28,18.84
120,1,2026-08-28,48.89
14,1,2026-08-28,52.97
367,1,2026-08-28,59.44
280,1,2026-08-28,42.62
230,1,2026-08-28,55.02
415,1,2026-08-28,75.46
389,1,2026-08-28,70.82
358,1,2026-08-28,42.85
143,1,2026-08-28,23.35
491,1,2026-08-28,67.74
53,1,2026-08-28,18.77
50,1,2026-08-28,38.21
177,1,2026-08-28,56.07
414,1,2026-08-28,15.17
236,1,2026-08-28,51.14
499,1,2026-08-28,79.33
41,1,2026-08-28,52.3
425,1,2026-08-28,57.89
454,1,2026-08-28,74.9
296,1,2026-08-28,26.04
36,1,2026-08-28,15.35
117,1,2026-08-28,68.43
41,1,2026-08-28,74.44
