pedido_id,transportadora_id,data_fatura,custo_repassado
390,4,2026-08-28,50.89
65,4,2026-08-28,21.37
244,4,2026-08-28,81.12
85,4,2026-08-28,31.35
447,4,2026-08-28,56.28
494,4,2026-08-28,27.46
277,4,2026-08-28,67.13
354,4,2026-08-28,26.68
160,4,2026-08-28,41.13
344,4,2026-08-28,59.44
225,4,2026-08-28,77.67
232,4,2026-08-28,20.83
116,4,2026-08-28,16.67
11,4,2026-08-28,54.95
118,4,2026-08-28,54.96
4,4,2026-08-28,17.18
324,4,2026-08-28,16.3
35,4,2026-08-28,78.1
441,4,2026-08-28,36.12
264,4,2026-08-28,29.37
343,4,2026-08-28,47.44
277,4,2026-08-28,21.66
479,4,2026-08-28,76.41
296,4,2026-08-28,46.5
402,4,2026-08-28,46.53
209,4,2026-08-28,25.9
50,4,2026-08-28,60.11
182,4,2026-08-28,42.92
240,4,2026-08-28,75.06
28,4,2026-08-28,61.16
