pedido_id,transportadora_id,data_fatura,custo_repassado
322,3,2026-08-28,23.68
349,3,2026-08-28,42.82
33,3,2026-08-28,40.09
306,3,2026-08-28,84.72
271,3,2026-08-28,30.35
284,3,2026-08-28,74.84
6,3,2026-08-28,61.66
59,3,2026-08-28,61.76
275,3,2026-08-28,66.81
394,3,2026-08-28,58.79
58,3,2026-08-28,33.43
81,3,2026-08-28,45.12
489,3,2026-08-28,64.71
369,3,2026-08-28,31.23
257,3,2026-08-28,67.62
260,3,2026-08-28,78.62
446,3,2026-08-28,57.65
431,3,2026-08-28,58.64
312,3,2026-08-28,26.52
192,3,2026-08-28,67.66
277,3,2026-08-28,81.61
473,3,2026-08-28,50.72
1,3,2026-08-28,55.72
251,3,2026-08-28,13.42
476,3,2026-08-28,38.5
426,3,2026-08-28,70.89
123,3,2026-08-28,16.23
450,3,2026-08-28,53.42
41,3,2026-08-28,18.25
249,3,2026-08-28,71.57
